dataset,year,residence_group,female_age_group,male_age_group,value,source_file,sheet_name
divorces_age_matrix,2010,Общо за страната,Под 20,total,19.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,Под 20,20 - 24,10.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,Под 20,25 - 29,6.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,Под 20,35 - 39,2.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,Под 20,40 - 49,1.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,20 - 24,total,553.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,20 - 24,Под 20,1.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,20 - 24,20 - 24,76.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,20 - 24,25 - 29,263.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,20 - 24,30 - 34,150.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,20 - 24,35 - 39,47.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,20 - 24,40 - 49,13.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,20 - 24,50 - 59,3.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,25 - 29,total,1683.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,25 - 29,20 - 24,31.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,25 - 29,25 - 29,459.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,25 - 29,30 - 34,799.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,25 - 29,35 - 39,305.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,25 - 29,40 - 49,74.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,25 - 29,50 - 59,14.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,25 - 29,60 +,1.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,30 - 34,total,2339.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,30 - 34,20 - 24,11.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,30 - 34,25 - 29,121.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,30 - 34,30 - 34,800.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,30 - 34,35 - 39,1012.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,30 - 34,40 - 49,351.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,30 - 34,50 - 59,39.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,30 - 34,60 +,5.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,35 - 39,total,2344.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,35 - 39,20 - 24,4.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,35 - 39,25 - 29,18.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,35 - 39,30 - 34,153.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,35 - 39,35 - 39,891.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,35 - 39,40 - 49,1179.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,35 - 39,50 - 59,91.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,35 - 39,60 +,8.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,40 - 49,total,2817.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,40 - 49,25 - 29,9.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,40 - 49,30 - 34,21.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,40 - 49,35 - 39,136.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,40 - 49,40 - 49,1859.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,40 - 49,50 - 59,746.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,40 - 49,60 +,46.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,50 - 59,total,1011.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,50 - 59,30 - 34,2.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,50 - 59,35 - 39,6.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,50 - 59,40 - 49,78.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,50 - 59,50 - 59,708.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,50 - 59,60 +,217.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,60 +,total,246.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,60 +,30 - 34,1.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,60 +,40 - 49,2.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,60 +,50 - 59,39.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,Общо за страната,60 +,60 +,204.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,Под 20,total,11.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,Под 20,20 - 24,4.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,Под 20,25 - 29,4.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,Под 20,35 - 39,2.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,Под 20,40 - 49,1.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,20 - 24,total,423.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,20 - 24,Под 20,1.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,20 - 24,20 - 24,54.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,20 - 24,25 - 29,195.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,20 - 24,30 - 34,119.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,20 - 24,35 - 39,40.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,20 - 24,40 - 49,11.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,20 - 24,50 - 59,3.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,25 - 29,total,1400.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,25 - 29,20 - 24,25.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,25 - 29,25 - 29,381.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,25 - 29,30 - 34,676.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,25 - 29,35 - 39,244.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,25 - 29,40 - 49,61.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,25 - 29,50 - 59,12.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,25 - 29,60 +,1.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,30 - 34,total,2013.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,30 - 34,20 - 24,10.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,30 - 34,25 - 29,112.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,30 - 34,30 - 34,702.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,30 - 34,35 - 39,853.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,30 - 34,40 - 49,300.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,30 - 34,50 - 59,32.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,30 - 34,60 +,4.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,35 - 39,total,2000.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,35 - 39,20 - 24,3.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,35 - 39,25 - 29,14.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,35 - 39,30 - 34,136.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,35 - 39,35 - 39,765.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,35 - 39,40 - 49,1002.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,35 - 39,50 - 59,73.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,35 - 39,60 +,7.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,40 - 49,total,2374.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,40 - 49,25 - 29,9.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,40 - 49,30 - 34,17.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,40 - 49,35 - 39,127.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,40 - 49,40 - 49,1575.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,40 - 49,50 - 59,610.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,40 - 49,60 +,36.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,50 - 59,total,843.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,50 - 59,30 - 34,2.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,50 - 59,35 - 39,6.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,50 - 59,40 - 49,67.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,50 - 59,50 - 59,590.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,50 - 59,60 +,178.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,60 +,total,190.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,60 +,40 - 49,2.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,60 +,50 - 59,32.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В градовете,60 +,60 +,156.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,Под 20,total,8.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,Под 20,20 - 24,6.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,Под 20,25 - 29,2.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,20 - 24,total,130.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,20 - 24,20 - 24,22.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,20 - 24,25 - 29,68.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,20 - 24,30 - 34,31.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,20 - 24,35 - 39,7.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,20 - 24,40 - 49,2.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,25 - 29,total,283.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,25 - 29,20 - 24,6.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,25 - 29,25 - 29,78.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,25 - 29,30 - 34,123.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,25 - 29,35 - 39,61.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,25 - 29,40 - 49,13.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,25 - 29,50 - 59,2.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,30 - 34,total,326.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,30 - 34,20 - 24,1.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,30 - 34,25 - 29,9.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,30 - 34,30 - 34,98.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,30 - 34,35 - 39,159.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,30 - 34,40 - 49,51.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,30 - 34,50 - 59,7.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,30 - 34,60 +,1.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,35 - 39,total,344.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,35 - 39,20 - 24,1.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,35 - 39,25 - 29,4.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,35 - 39,30 - 34,17.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,35 - 39,35 - 39,126.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,35 - 39,40 - 49,177.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,35 - 39,50 - 59,18.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,35 - 39,60 +,1.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,40 - 49,total,443.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,40 - 49,30 - 34,4.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,40 - 49,35 - 39,9.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,40 - 49,40 - 49,284.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,40 - 49,50 - 59,136.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,40 - 49,60 +,10.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,50 - 59,total,168.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,50 - 59,40 - 49,11.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,50 - 59,50 - 59,118.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,50 - 59,60 +,39.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,60 +,total,56.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,60 +,30 - 34,1.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,60 +,50 - 59,7.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2010,В селата,60 +,60 +,48.0,Pop_4.2.2._Divorces_DR.xlsx,2010
divorces_age_matrix,2011,Общо за страната,Под 20,total,11.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,Под 20,Под 20,1.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,Под 20,20 - 24,6.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,Под 20,25 - 29,2.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,Под 20,30 - 34,1.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,Под 20,40 - 49,1.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,20 - 24,total,475.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,20 - 24,Под 20,2.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,20 - 24,20 - 24,68.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,20 - 24,25 - 29,227.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,20 - 24,30 - 34,126.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,20 - 24,35 - 39,40.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,20 - 24,40 - 49,11.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,20 - 24,50 - 59,1.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,25 - 29,total,1511.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,25 - 29,20 - 24,27.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,25 - 29,25 - 29,392.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,25 - 29,30 - 34,702.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,25 - 29,35 - 39,305.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,25 - 29,40 - 49,73.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,25 - 29,50 - 59,10.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,25 - 29,60 +,2.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,30 - 34,total,2174.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,30 - 34,20 - 24,2.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,30 - 34,25 - 29,88.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,30 - 34,30 - 34,752.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,30 - 34,35 - 39,940.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,30 - 34,40 - 49,364.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,30 - 34,50 - 59,25.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,30 - 34,60 +,3.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,35 - 39,total,2321.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,35 - 39,25 - 29,18.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,35 - 39,30 - 34,167.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,35 - 39,35 - 39,862.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,35 - 39,40 - 49,1187.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,35 - 39,50 - 59,80.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,35 - 39,60 +,7.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,40 - 49,total,2736.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,40 - 49,25 - 29,4.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,40 - 49,30 - 34,14.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,40 - 49,35 - 39,129.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,40 - 49,40 - 49,1846.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,40 - 49,50 - 59,707.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,40 - 49,60 +,36.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,50 - 59,total,1078.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,50 - 59,25 - 29,1.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,50 - 59,30 - 34,4.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,50 - 59,35 - 39,2.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,50 - 59,40 - 49,92.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,50 - 59,50 - 59,741.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,50 - 59,60 +,238.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,60 +,total,275.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,60 +,30 - 34,1.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,60 +,40 - 49,2.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,60 +,50 - 59,38.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,Общо за страната,60 +,60 +,234.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,Под 20,total,5.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,Под 20,Под 20,1.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,Под 20,20 - 24,1.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,Под 20,25 - 29,1.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,Под 20,30 - 34,1.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,Под 20,40 - 49,1.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,20 - 24,total,366.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,20 - 24,Под 20,2.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,20 - 24,20 - 24,47.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,20 - 24,25 - 29,175.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,20 - 24,30 - 34,98.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,20 - 24,35 - 39,34.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,20 - 24,40 - 49,9.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,20 - 24,50 - 59,1.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,25 - 29,total,1273.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,25 - 29,20 - 24,19.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,25 - 29,25 - 29,332.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,25 - 29,30 - 34,593.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,25 - 29,35 - 39,256.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,25 - 29,40 - 49,64.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,25 - 29,50 - 59,7.0,Pop_4.2.2._Divorces_DR.xlsx,2011
divorces_age_matrix,2011,В градовете,25 - 29,60 +,2.0,Pop_4.2.2._Divorces_DR.xlsx,2011
